CODEX_ID,X_centroid,Y_centroid,Sample,leiden_R,phenotype
CODEX_8956-1,2839.379377,3292.842412,D10_batch_2_Sample,"1-2-3,1",Endomucin
CODEX_8957-1,3680.12963,3292.351852,D10_batch_2_Sample,"1-2-3,1",Hepatocyte
CODEX_8958-1,4895.34375,3292.03125,D10_batch_2_Sample,"1-2-3,1",Non-immune cells
CODEX_8959-1,5701.930464,3291.705298,D10_batch_2_Sample,"1-2-3,1",Non-immune cells
CODEX_8960-1,176.1193481,3295.507361,D10_batch_2_Sample,"1-2-3,1",CD11b+ myeloid cells
CODEX_8961-1,1759.655738,3295.721311,D10_batch_2_Sample,"1-2-3,2",CD11b+ myeloid cells
CODEX_8962-1,2529.578261,3294.36087,D10_batch_2_Sample,"1-2-3,1",Endomucin
CODEX_8963-1,3049.211864,3295.720339,D10_batch_2_Sample,"1-2-3,1",Hepatocyte
CODEX_8964-1,3542.112903,3294.435484,D10_batch_2_Sample,"1-2-3,2",Non-immune cells
CODEX_8965-1,4969.050725,3293.253623,D10_batch_2_Sample,"1-2-3,1",Hepatocyte
CODEX_8966-1,5785.461326,3295.483425,D10_batch_2_Sample,"1-2-3,1",Endomucin
CODEX_8967-1,3615.042373,3295.957627,D10_batch_2_Sample,5,F4-80+ macrophage
CODEX_8968-1,3757.3,3297.7,D10_batch_2_Sample,"1-2-3,2",Non-immune cells
CODEX_8969-1,4112.851706,3295.864829,D10_batch_2_Sample,"1-2-3,1",Endomucin
CODEX_8970-1,4169.515873,3296.563492,D10_batch_2_Sample,"1-2-3,1",Hepatocyte
CODEX_8971-1,4569.166667,3295.5,D10_batch_2_Sample,"1-2-3,1",Hepatocyte
CODEX_8972-1,5896.195652,3297.5,D10_batch_2_Sample,6,Non-immune cells
CODEX_8973-1,288.8315217,3297.826087,D10_batch_2_Sample,"1-2-3,1",Hepatocyte
CODEX_8974-1,2147.561224,3297.765306,D10_batch_2_Sample,5,Hepatocyte
CODEX_8975-1,4282.606061,3298.5,D10_batch_2_Sample,"1-2-3,1",Hepatocyte
CODEX_8976-1,462.8106796,3300.88835,D10_batch_2_Sample,"1-2-3,1",Hepatocyte
CODEX_8977-1,2897.406667,3298.793333,D10_batch_2_Sample,5,F4-80+ macrophage
CODEX_8978-1,3215.703883,3299.956311,D10_batch_2_Sample,5,Endomucin
CODEX_8979-1,4367.252294,3302.683486,D10_batch_2_Sample,"1-2-3,1",Hepatocyte
CODEX_8980-1,5751.341379,3299.837931,D10_batch_2_Sample,"1-2-3,1",T cells
CODEX_8981-1,1919.283505,3304.005155,D10_batch_2_Sample,5,pH2AX+PD1+CD8+ T cells
CODEX_8982-1,2299.089327,3302.945476,D10_batch_2_Sample,"1-2-3,2",Non-immune cells
CODEX_8983-1,3447.097156,3302.92654,D10_batch_2_Sample,"1-2-3,2",Non-immune cells
CODEX_8984-1,3915.525641,3304.987179,D10_batch_2_Sample,5,F4-80+ macrophage
CODEX_8985-1,4686.716867,3301.656627,D10_batch_2_Sample,"1-2-3,1",Hepatocyte
CODEX_8986-1,6638.74,3301.98,D10_batch_2_Sample,"1-2-3,2",Hepatocyte
CODEX_8987-1,6674.528037,3303.331776,D10_batch_2_Sample,"1-2-3,2",Non-immune cells
CODEX_8988-1,815.484375,3303.921875,D10_batch_2_Sample,"1-2-3,2",Tumor cells
CODEX_8989-1,2978.224138,3304.465517,D10_batch_2_Sample,5,Hepatocyte
CODEX_8990-1,4827.121429,3304.8,D10_batch_2_Sample,"1-2-3,2",Tumor cells
CODEX_8991-1,247.0797101,3305.644928,D10_batch_2_Sample,"1-2-3,2",Non-immune cells
CODEX_8992-1,969.0538462,3306.376923,D10_batch_2_Sample,"1-2-3,1",T cells
CODEX_8993-1,1246.852113,3306.147887,D10_batch_2_Sample,6,Tumor cells
CODEX_8994-1,1362.428571,3306.008929,D10_batch_2_Sample,"1-2-3,1",Endomucin
CODEX_8995-1,2720.69697,3304.454545,D10_batch_2_Sample,"1-2-3,1",Endomucin
CODEX_8996-1,4981.224138,3306.051724,D10_batch_2_Sample,"1-2-3,1",Hepatocyte
CODEX_8997-1,6193.063636,3306.609091,D10_batch_2_Sample,"1-2-3,2",Non-immune cells
CODEX_8998-1,6296.136364,3305.518182,D10_batch_2_Sample,"1-2-3,2",Non-immune cells
CODEX_8999-1,6700.112903,3301.919355,D10_batch_2_Sample,5,F4-80+ macrophage
CODEX_9000-1,114.6186944,3308.292285,D10_batch_2_Sample,"1-2-3,1",Endomucin
CODEX_9001-1,3070.25,3309.166667,D10_batch_2_Sample,5,F4-80+ macrophage
CODEX_9002-1,4434.458333,3308.604167,D10_batch_2_Sample,5,T cells
CODEX_9003-1,4503.315385,3307.823077,D10_batch_2_Sample,"1-2-3,2",Non-immune cells
CODEX_9004-1,6118.390295,3309.124473,D10_batch_2_Sample,"1-2-3,2",CD11b+ myeloid cells
CODEX_9005-1,879.328125,3310.359375,D10_batch_2_Sample,5,F4-80+ macrophage
CODEX_9006-1,1042.564103,3310.269231,D10_batch_2_Sample,"1-2-3,1",Hepatocyte
CODEX_9007-1,1939.533898,3310.584746,D10_batch_2_Sample,7,CD11b+ myeloid cells
CODEX_9008-1,6327.184932,3309.664384,D10_batch_2_Sample,"1-2-3,1",Endomucin
CODEX_9009-1,1643.242616,3315.048523,D10_batch_2_Sample,"1-2-3,1",Endomucin
CODEX_9010-1,2207.996063,3313.476378,D10_batch_2_Sample,"1-2-3,1",Non-immune cells
CODEX_9011-1,2775.628205,3312.688034,D10_batch_2_Sample,5,F4-80+ macrophage
CODEX_9012-1,4190.48374,3312.223577,D10_batch_2_Sample,6,Non-immune cells
CODEX_9013-1,6068.820755,3313.254717,D10_batch_2_Sample,"1-2-3,1",Hepatocyte
CODEX_9014-1,6539.54065,3311.418699,D10_batch_2_Sample,"1-2-3,2",Tumor cells
CODEX_9015-1,70.5,3314.175862,D10_batch_2_Sample,"1-2-3,1",Hepatocyte
CODEX_9016-1,493.6925926,3313.840741,D10_batch_2_Sample,"1-2-3,1",Hepatocyte
CODEX_9017-1,3147.788136,3315.330508,D10_batch_2_Sample,5,T cells
CODEX_9018-1,3742.987805,3314.743902,D10_batch_2_Sample,"1-2-3,1",Hepatocyte
CODEX_9019-1,3892.7,3314.7,D10_batch_2_Sample,"1-2-3,1",Hepatocyte
CODEX_9020-1,4232.318182,3312.984848,D10_batch_2_Sample,"1-2-3,1",Hepatocyte
CODEX_9021-1,4617.390625,3315.09375,D10_batch_2_Sample,"1-2-3,2",Tumor cells
CODEX_9022-1,5812.957711,3315.504975,D10_batch_2_Sample,6,Non-immune cells
CODEX_9023-1,6171.544586,3313.557325,D10_batch_2_Sample,5,F4-80+ macrophage
CODEX_9024-1,2373.813131,3317.70202,D10_batch_2_Sample,"1-2-3,2",Non-immune cells
CODEX_9025-1,3958.401639,3317.745902,D10_batch_2_Sample,5,Hepatocyte
CODEX_9026-1,4342.14557,3317.664557,D10_batch_2_Sample,"1-2-3,1",Hepatocyte
