CODEX_ID,DAPI-01,X_centroid,Y_centroid,Area,MajorAxisLength,MinorAxisLength,Eccentricity,Solidity,Extent,Orientation,Sample
CODEX_8712,38332.92005,592.8147208,1594.073604,788,33.65081432,30.45079178,0.425613501,0.936979786,0.76953125,0.601588448,D20_batch_2_Sample
CODEX_8713,29269.12171,984.9210526,1594.894737,304,21.66683181,18.32334782,0.533679953,0.894117647,0.690909091,0.844080831,D20_batch_2_Sample
CODEX_8714,33471.61993,1296,1595.027027,592,31.77186809,24.0774978,0.652458531,0.95024077,0.822222222,-0.355495333,D20_batch_2_Sample
CODEX_8715,30582.99716,2016.568182,1594.125,704,33.71146459,27.28526164,0.587290345,0.902564103,0.6875,-0.97198326,D20_batch_2_Sample
CODEX_8716,36135.84793,2045.163594,1598.306452,868,40.77565376,28.97584477,0.703579743,0.846829268,0.645833333,0.342582073,D20_batch_2_Sample
CODEX_8717,29233.8922,2124.004587,1595.059633,872,36.11329353,31.01926521,0.512070998,0.934619507,0.756944444,-1.477637206,D20_batch_2_Sample
CODEX_8718,28724.8125,2209.75,1594.447368,608,30.29738562,25.95893312,0.515641572,0.942635659,0.779487179,0.247152483,D20_batch_2_Sample
CODEX_8719,24174.7451,2782.918301,1594.186275,612,35.21151937,22.65188406,0.76560672,0.896046852,0.6,0.904833628,D20_batch_2_Sample
CODEX_8720,29716.90236,2952.113734,1593.744635,932,37.06111086,32.88770893,0.461016924,0.939516129,0.761437908,-0.721023763,D20_batch_2_Sample
CODEX_8721,26732.82054,3833.856436,1594.212871,808,33.75345596,30.58385496,0.423073189,0.956213018,0.792156863,-1.334775999,D20_batch_2_Sample
CODEX_8722,28606.46714,509.6924883,1597.476526,852,39.232933,28.37916844,0.690480851,0.923076923,0.700657895,-0.394157564,D20_batch_2_Sample
CODEX_8723,31799.16611,1411.077181,1598.177852,596,28.40881293,27.15236059,0.29410718,0.922600619,0.70952381,-1.361214568,D20_batch_2_Sample
CODEX_8724,31691.58654,1562.166667,1596.679487,312,22.06203577,19.03839618,0.50529223,0.925816024,0.78,0.16240105,D20_batch_2_Sample
CODEX_8725,33508.3858,2235.685185,1597.425926,648,34.84025353,25.19728083,0.690614331,0.859416446,0.680672269,1.189129105,D20_batch_2_Sample
CODEX_8726,28105.26634,2611.480392,1596.578431,612,28.52394405,27.78875098,0.225576722,0.923076923,0.728571429,1.458109661,D20_batch_2_Sample
CODEX_8727,24495.22345,2858.836283,1598.517699,452,30.93288788,19.44350837,0.777752415,0.891518738,0.588541667,-1.312734524,D20_batch_2_Sample
CODEX_8728,12977.80914,3103.553763,1596.456989,372,25.02217404,19.22274392,0.640175894,0.927680798,0.704545455,0.6261279,D20_batch_2_Sample
CODEX_8729,26780.34063,649.425,1600.05,320,24.40602452,18.35799464,0.658945017,0.85106383,0.606060606,1.051294503,D20_batch_2_Sample
CODEX_8730,35423.77439,892.1747967,1599.410569,492,27.8438704,22.90889565,0.568385149,0.92481203,0.732142857,1.287701159,D20_batch_2_Sample
CODEX_8731,28059.625,1070.180851,1600.010638,376,24.37513572,19.85607726,0.580017854,0.930693069,0.783333333,0.273422682,D20_batch_2_Sample
CODEX_8732,31314.05612,1755.003401,1599.044218,588,30.9238629,24.81789945,0.596586894,0.951456311,0.807692308,-0.978571279,D20_batch_2_Sample
CODEX_8733,33284.66618,2071.482659,1598.962428,692,31.44438735,28.83094008,0.3991476,0.92885906,0.768888889,1.264708259,D20_batch_2_Sample
CODEX_8734,39150.51667,2430.5,1598.992308,780,39.71922902,25.70847115,0.762273516,0.920897285,0.641447368,-1.005823123,D20_batch_2_Sample
CODEX_8735,41983.71084,2506.704819,1599.114458,664,32.50954136,26.35866113,0.585326491,0.949928469,0.798076923,-0.18432973,D20_batch_2_Sample
CODEX_8736,30050.97378,2531.856643,1597.730769,572,28.62375082,25.73893951,0.437504611,0.936170213,0.733333333,0.264127725,D20_batch_2_Sample
CODEX_8737,26555.1405,3235.028926,1597.805785,484,27.92254854,23.43153215,0.543882074,0.899628253,0.733333333,1.194236242,D20_batch_2_Sample
CODEX_8738,25800.4375,3316.642857,1597.942857,560,29.54060793,24.28408048,0.569404378,0.939597315,0.769230769,-0.562509031,D20_batch_2_Sample
CODEX_8739,26129.51082,3676.692308,1599.221154,832,33.7431849,31.56227271,0.353677765,0.944381385,0.764705882,-1.185504247,D20_batch_2_Sample
CODEX_8740,31066.61963,449.2607362,1602.266871,652,32.33908167,26.22799,0.585003509,0.943560058,0.783653846,0.085131355,D20_batch_2_Sample
CODEX_8741,29830.20466,794.9248705,1600.34456,772,34.41732418,29.10240836,0.533857592,0.934624697,0.714814815,-1.142237883,D20_batch_2_Sample
CODEX_8742,34173.34483,1089.074713,1601.327586,348,21.63654595,21.06875992,0.227585894,0.945652174,0.87,1.25783393,D20_batch_2_Sample
CODEX_8743,29378.36964,1371.471429,1598.185714,560,30.90962268,23.72284099,0.641060349,0.936454849,0.769230769,0.740178149,D20_batch_2_Sample
CODEX_8744,32235.50347,1542.513889,1601.013889,576,29.51324024,25.35670479,0.511700821,0.914285714,0.685714286,-0.470184157,D20_batch_2_Sample
CODEX_8745,28877.86504,1595.526549,1601.29646,452,26.26426478,22.49544923,0.516140298,0.905811623,0.672619048,-1.28009321,D20_batch_2_Sample
CODEX_8746,31857.90112,1713.634328,1598.022388,536,30.09106873,23.43790382,0.627149363,0.888888889,0.595555556,0.880201794,D20_batch_2_Sample
CODEX_8747,27588.45313,1954.333333,1601.770833,384,24.12361183,20.79503057,0.506874638,0.903529412,0.615384615,0.769998759,D20_batch_2_Sample
CODEX_8748,39090.83448,2483.603448,1601.258621,580,30.75198093,24.33385211,0.611436103,0.930979133,0.805555556,0.147777718,D20_batch_2_Sample
CODEX_8749,28674.3096,2566.950331,1600.42053,604,28.26930447,27.43210663,0.241563896,0.949685535,0.82967033,1.209869492,D20_batch_2_Sample
CODEX_8750,25061.9119,2901.947619,1600.461905,420,24.93482615,21.80468912,0.485084539,0.923076923,0.734265734,0.273625778,D20_batch_2_Sample
CODEX_8751,28441.22331,3074.08427,1600.331461,712,32.3323347,28.4795669,0.473416776,0.916344916,0.6953125,-0.734339666,D20_batch_2_Sample
CODEX_8752,28760.81563,3394.6,1602.1375,640,35.77268246,22.99679738,0.765984381,0.943952802,0.711111111,-0.695915004,D20_batch_2_Sample
CODEX_8753,28824.47479,4011.878151,1600.953782,476,26.29915863,23.34358283,0.460582121,0.948207171,0.832167832,-1.303043001,D20_batch_2_Sample
CODEX_8754,31320.21168,425.8868613,1600.689781,548,29.53758861,24.32275682,0.567387393,0.921008403,0.752747253,0.733209427,D20_batch_2_Sample
CODEX_8755,24664.8934,706.8698113,1602.15283,1060,43.65888309,31.49274325,0.692584827,0.933920705,0.70855615,-1.351019764,D20_batch_2_Sample
CODEX_8756,32477.91944,1108.344444,1605.566667,360,25.47640173,18.54020302,0.685852845,0.930232558,0.743801653,0.832114008,D20_batch_2_Sample
CODEX_8757,31990.43702,1273.950382,1602.103053,524,29.0598672,23.42084927,0.591981303,0.903448276,0.727777778,0.283850767,D20_batch_2_Sample
CODEX_8758,25822.94388,2091.928571,1604.418367,196,20.34446174,13.57805587,0.744692288,0.951456311,0.680555556,-0.670823664,D20_batch_2_Sample
CODEX_8759,29102.57955,2453.363636,1602.545455,176,18.13975564,12.70935789,0.713519312,0.884422111,0.698412698,0.239766649,D20_batch_2_Sample
CODEX_8760,30475.60386,2638.461353,1602.268116,828,36.9833056,28.95220393,0.622216493,0.93877551,0.71875,-0.624619218,D20_batch_2_Sample
CODEX_8761,26513.1663,3488.896476,1600.517621,908,36.00477887,32.69925946,0.418553367,0.958817318,0.788194444,-1.472845045,D20_batch_2_Sample
CODEX_8762,30391.90931,85.57843137,1603.127451,408,23.30867044,22.74053369,0.219442128,0.937931034,0.708333333,0.948764312,D20_batch_2_Sample
CODEX_8763,38685.06918,134.1603774,1607.908805,636,35.92985,23.97636462,0.744779668,0.883333333,0.630952381,-0.60299809,D20_batch_2_Sample
CODEX_8764,18612.7619,237.6190476,1603,336,22.62631193,19.45971207,0.510213298,0.915531335,0.636363636,-0.073152683,D20_batch_2_Sample
CODEX_8765,29496.33286,340.1342857,1604.9,700,32.70664667,28.0081294,0.516406373,0.91503268,0.68359375,0.757274657,D20_batch_2_Sample
CODEX_8766,36083.34744,535.6589744,1604.294872,780,44.02179474,24.38155843,0.832615144,0.896551724,0.663265306,-1.066153821,D20_batch_2_Sample
CODEX_8767,36153.53387,1435.816129,1605.26129,620,29.75412835,26.90150192,0.427264446,0.930930931,0.738095238,-0.602968603,D20_batch_2_Sample
CODEX_8768,30361.48894,1491.809735,1604.287611,452,26.01677795,22.64351909,0.4924461,0.918699187,0.784722222,0.963039453,D20_batch_2_Sample
CODEX_8769,35219.81303,1657.138655,1604.852941,476,26.29582925,23.67660491,0.435075602,0.963562753,0.901515152,0.297937323,D20_batch_2_Sample
CODEX_8770,25996.38866,1804.163866,1604.315126,476,27.15614378,22.89077408,0.538020605,0.911877395,0.708333333,1.196230526,D20_batch_2_Sample
CODEX_8771,32074.46875,1919.671053,1603.986842,608,31.28527144,25.15055369,0.594750486,0.919818457,0.687782805,-0.009929872,D20_batch_2_Sample
CODEX_8772,25316.92529,2348.729885,1601.856322,348,22.92702295,20.00755374,0.488323783,0.903896104,0.608391608,-0.623733604,D20_batch_2_Sample
CODEX_8773,29365.35083,2680.267956,1602.88674,724,33.60676772,27.86102366,0.559203908,0.94025974,0.804444444,0.766537414,D20_batch_2_Sample
CODEX_8774,28552.83889,2721.092593,1604.425926,540,26.82555443,26.12707261,0.226711006,0.959147425,0.865384615,-0.247324359,D20_batch_2_Sample
CODEX_8775,19236.49265,2740.647059,1604.588235,272,22.43521821,16.32615499,0.685893345,0.944444444,0.85,0.397369525,D20_batch_2_Sample
CODEX_8776,18168.26969,2761.366142,1603.759843,508,28.4136374,23.35735318,0.569419247,0.912028725,0.755952381,1.378685332,D20_batch_2_Sample
CODEX_8777,23976.66223,3032.457447,1602.840426,752,33.41503663,29.37104875,0.476864161,0.918192918,0.650519031,1.146790954,D20_batch_2_Sample
CODEX_8778,34063.62374,3210.318182,1603.843434,792,33.94728951,30.35935947,0.447450315,0.954216867,0.825,-1.066667297,D20_batch_2_Sample
CODEX_8779,12660.58456,3914.5,1605.5,272,20.79921365,16.79929287,0.589608962,0.925170068,0.755555556,-0.346167217,D20_batch_2_Sample
CODEX_8780,31291.20578,301.1802721,1606.418367,588,36.53820015,21.38805707,0.81077239,0.927444795,0.706730769,0.491801219,D20_batch_2_Sample
CODEX_8781,35651.77835,747.2216495,1605.654639,776,34.02831932,29.6028292,0.493145494,0.899188876,0.673611111,1.534931776,D20_batch_2_Sample
CODEX_8782,34450.59167,920.2142857,1602.652381,840,39.5504405,27.45922112,0.71970155,0.932297447,0.736842105,0.230484481,D20_batch_2_Sample
CODEX_8783,34974.62946,1049.166667,1607.738095,672,33.47467123,25.98533758,0.630402249,0.911804613,0.7,0.994022261,D20_batch_2_Sample
CODEX_8784,39465.44828,1218.913793,1610.5,116,14.86982151,10.93604538,0.677576431,0.90625,0.805555556,-0.995423708,D20_batch_2_Sample
CODEX_8785,32831.23509,1628.600917,1608.417431,872,41.85834184,27.9352435,0.744721135,0.885279188,0.707792208,1.521333771,D20_batch_2_Sample
