CODEX_ID,PD1,pH2AX,CD8A,CD3,CD4,CD11B,MHCII,LY6C,PDL1,KI67,CD44,CD19,CD45,CD24,SCAI,F4.80,ATPase,ENDOMUCIN
CODEX_1,1648.804348,14216.97283,1325.804348,394.9347826,1057.065217,2235.396739,887.4945652,3560.907609,598.8043478,4827.684783,186.3586957,2364.005435,2250.076087,246.0652174,3601.608696,755.1630435,1279.391304,241.875
CODEX_2,1092.080882,3456.411765,844.4117647,342.6029412,784.7794118,4467.669118,875.1617647,4618.566176,561.5661765,2128.205882,604.6397059,1444.551471,1888.882353,204.0882353,8092.022059,642.8088235,1392.904412,320.5735294
CODEX_3,1813.109375,7815.244792,1957.671875,1026.625,834.1666667,3708.083333,1592.807292,4294.463542,684.1354167,3335.104167,603.703125,2155.317708,4356.463542,207.8489583,4056.520833,558.453125,2238.411458,246.1197917
CODEX_4,1121.588235,4417.5,725.1691176,244.6102941,1607.007353,1486.691176,1577.617647,5882.992647,785.2941176,1866.772059,683.0294118,1426.132353,2927.698529,209.7205882,2456.669118,1363.014706,1924.926471,292.6102941
CODEX_5,1562.026923,8072.084615,722.0576923,286.1884615,715.1923077,1543.803846,1468.434615,1172.369231,596.5192308,3416.723077,355.4576923,3382.265385,3668.303846,205.0576923,2366.957692,497.1730769,1595.861538,705.7807692
CODEX_6,1324.262048,8819.289157,536.6716867,250.9909639,609.6415663,1328.487952,1393.478916,993.4849398,414.5150602,3252.14759,195.2198795,3055.171687,3565.885542,184.1445783,1318.978916,464.4578313,1587.292169,207.1024096
CODEX_7,1520.916667,9699.529762,724.0535714,214.3690476,676.6071429,1107.940476,1741.071429,1043.994048,526.4702381,2646.452381,155.2559524,2817.291667,4063.970238,174.952381,1120.845238,479.8809524,1885.535714,254.7202381
CODEX_8,1210.837838,8592.398649,649.8716216,452.6756757,2069.435811,3094.635135,1021.388514,876.9189189,483.4763514,2607.260135,630.9391892,1982.905405,2964.506757,142.1114865,1235.304054,452.1486486,1049.800676,212.8817568
CODEX_9,1505.381818,9245.186364,729.2227273,253.8136364,903.4363636,2327.809091,1180.8,1049.418182,530.7590909,2659.777273,382.2272727,2121.131818,3626.372727,146.3636364,1316.1,489.1727273,1271.818182,247.7909091
CODEX_10,1727.543269,9763.295673,709.0745192,236.8100962,708.9326923,1008.028846,1634.697115,972.6826923,573.7980769,3087.420673,166.9206731,3418.723558,4755.302885,172.4302885,1128.887019,463.6033654,2036.228365,237.6057692
CODEX_11,1743.846774,6603.153226,1020.91129,357.2459677,1033.177419,1404.471774,1687.294355,1384.366935,629.0645161,3578.907258,188.8669355,3371.209677,4798.931452,223.6290323,1853.165323,496.7298387,2030.46371,286.6048387
CODEX_12,1362.710526,4803.899123,720.6535088,295.2850877,674.8859649,5678.95614,1524.960526,12250.32456,562.75,2236.451754,737.5175439,2249.894737,5483.97807,210.9868421,4193.495614,708.8947368,2202.144737,268.2675439
CODEX_13,1241.886364,5050.756494,1688.857143,858.961039,1446.542208,1920.5,1557.720779,10804.17208,491.2792208,2679.392857,627.8019481,1764.993506,3288.805195,197.0454545,2505.298701,524.5551948,1786.207792,224.7922078
