CODEX_ID,PD1,pH2AX,CD8A,CD3,CD4,CD11B,MHCII,LY6C,PDL1,KI67,CD44,CD19,CD45,CD24,SCAI,F4.80,ATPase,ENDOMUCIN
CODEX_5042,989.3551587,735.5376984,3965.184524,70.22222222,0,218.1746032,627.0297619,0,154.7202381,367.3055556,217.3730159,0,2074.505952,137.4007937,109.702381,0,289.7222222,60.01190476
CODEX_5043,148.8016667,294.5966667,0.42,0,0,1.326666667,120.075,0,138.3116667,134.6166667,105.5866667,0,212.765,226.8183333,274.4616667,0,536.5916667,1273.681667
CODEX_5044,159.3161765,181.1911765,0,0,0,0,199.5073529,0,61.88970588,49.6875,62.05514706,0,141.0845588,75.31985294,34.68014706,0.566176471,174.4191176,49.95220588
CODEX_5045,228.4531835,267.8988764,0.016853933,0,0,34.07022472,115.0524345,0,279.7368914,55.50842697,135.8146067,0,830.1282772,99.55898876,56.27247191,235.0262172,648.8998127,1491.438202
CODEX_5046,384.6056701,1034.659794,0,0,0,0,93.76546392,0,118.5180412,172.0051546,53.57216495,0,447.306701,100.5386598,211.2912371,0,151.2216495,40.74226804
CODEX_5047,194.5994318,694.3778409,1.511363636,0,0,0.181818182,108.1875,0,92.89204545,135.2926136,56.75,0,238.0909091,95.34659091,80.81818182,0,168.5880682,76.29545455
CODEX_5048,366.9575758,1299.05,3.109090909,0,0,71.15757576,116.4469697,0.03030303,132.1318182,608.9348485,61.21060606,0,749.1757576,111.1181818,60.87121212,0,87.22878788,57.00757576
CODEX_5049,231.1387795,701.7864173,0,0,0,0.015748031,88.46751969,0,61.5738189,84.43208661,49.5019685,0,136.742126,94.35433071,25.76870079,0,135.3267717,118.8425197
CODEX_5050,144.1003937,230.8346457,0,0,0,0,90.5492126,0,111.0826772,174.7047244,53.36417323,0,244.5905512,84.48622047,36.19291339,0,526.8759843,955.5413386
CODEX_5051,220.2162162,593.9245495,0,0,0,0.091216216,90.42567568,0,101.5743243,139.3704955,56.79166667,0,351.3265766,87.78490991,297.5619369,0,564.6891892,456.6261261
CODEX_5052,244.9939516,431.391129,2.774193548,0,0,0.635080645,187.5302419,0,197.8024194,155.5483871,111.5342742,0,616.4435484,91.56653226,37.16532258,9.139112903,548.4153226,112.9899194
CODEX_5053,193.9382716,470.308642,0,0,0,0,82.35493827,0,92.07407407,100.9598765,67.41975309,0,130.2037037,82.65740741,252.9845679,0,702.2160494,193.6728395
CODEX_5054,146.3768657,236.7164179,0,0,0,0.40858209,93.66791045,0,123.494403,131.0205224,50.97014925,0,234.0895522,88.72014925,30.11567164,0,520.6026119,787.4085821
