CODEX_ID,DAPI-01,X_centroid,Y_centroid,Area,MajorAxisLength,MinorAxisLength,Eccentricity,Solidity,Extent,Orientation,Sample
CODEX_1,7718.092593,1553.87037,3.981481481,216,26.33228513,10.97991957,0.908917694,0.95154185,0.830769231,-1.563746175,D10_batch_2_Sample
CODEX_2,27970.90116,2028.034884,3.988372093,172,21.16807195,10.78685371,0.860422509,0.934782609,0.86,1.514857019,D10_batch_2_Sample
CODEX_3,12206.93,2999.22,2.98,100,15.62220535,8.779857633,0.82712948,0.934579439,0.78125,1.557915741,D10_batch_2_Sample
CODEX_4,9098.232955,3121.136364,4.454545455,176,19.65560228,12.55748211,0.769310169,0.911917098,0.733333333,1.479201429,D10_batch_2_Sample
CODEX_5,9031.039474,3790.5,2.289473684,76,15.04379571,6.61149842,0.898250714,0.974358974,0.904761905,-1.570796327,D10_batch_2_Sample
CODEX_6,13527.41146,3827.458333,4.625,192,20.87493193,12.64750723,0.795563218,0.914285714,0.8,-1.476266269,D10_batch_2_Sample
CODEX_7,5423.006173,5701.858025,4.030864198,324,39.4219847,10.9381645,0.96073616,0.955752212,0.852631579,1.53612128,D10_batch_2_Sample
CODEX_8,15255.23837,1797.662791,4.965116279,172,17.49155608,12.90833989,0.674827502,0.966292135,0.895833333,1.504520561,D10_batch_2_Sample
CODEX_9,14133.78421,2695.152632,5.678947368,380,33.61620834,15.00779334,0.894810999,0.954773869,0.848214286,-1.549738814,D10_batch_2_Sample
CODEX_10,8083.088542,2789.041667,5,192,19.53092598,12.98133863,0.747149905,0.955223881,0.888888889,1.419801349,D10_batch_2_Sample
CODEX_11,13028.72561,2872.158537,4.158536585,164,19.56079622,11.0071038,0.826652699,0.982035928,0.911111111,-1.503760405,D10_batch_2_Sample
CODEX_12,29600.16102,3913.211864,5.652542373,236,21.17265554,14.95023485,0.708101639,0.944,0.842857143,-1.555825352,D10_batch_2_Sample
CODEX_13,15086.22881,4137.211864,5.042372881,236,23.73491242,13.1423202,0.832707842,0.983333333,0.893939394,1.463606011,D10_batch_2_Sample
CODEX_14,5867.270833,5166.916667,3.083333333,96,14.79022818,8.623239613,0.812446119,0.96969697,0.857142857,1.467721961,D10_batch_2_Sample
CODEX_15,5720.757143,5509.985714,3.357142857,140,19.92053309,9.620647136,0.875647219,0.880503145,0.7,1.541589824,D10_batch_2_Sample
CODEX_16,12233.41489,5818.861702,5.904255319,376,32.43199209,15.2249237,0.882963566,0.971576227,0.895238095,1.540835688,D10_batch_2_Sample
