CODEX_ID,DAPI-01,X_centroid,Y_centroid,Area,MajorAxisLength,MinorAxisLength,Eccentricity,Solidity,Extent,Orientation,Sample
CODEX_14273,9385.130854,6011.365014,3862.103306,1452,53.59783717,34.94047946,0.758304153,0.949640288,0.764210526,1.162362697,D0_batch_2_Sample
CODEX_14274,31163.46477,126.1644295,3865.520134,596,32.37833055,24.16907587,0.665432116,0.965964344,0.827777778,-0.336992234,D0_batch_2_Sample
CODEX_14275,31481.89286,228.7142857,3863.380952,336,21.24154853,20.30310609,0.29395119,0.928176796,0.763636364,-1.090627731,D0_batch_2_Sample
CODEX_14276,24907.51645,319.6315789,3862.815789,304,22.1185962,17.68289002,0.600721907,0.95,0.844444444,-1.074464556,D0_batch_2_Sample
CODEX_14277,27954.29646,1031.933628,3863.70354,452,26.196202,22.22967398,0.529060911,0.914979757,0.724358974,-1.195167743,D0_batch_2_Sample
CODEX_14278,10180.83036,1842.071429,3865.5,112,12.16552506,11.94887067,0.187884557,0.949152542,0.777777778,0,D0_batch_2_Sample
CODEX_14279,16297.53555,2929.57109,3863.087678,844,34.06310077,31.70141921,0.365866224,0.960182025,0.82421875,0.995297846,D0_batch_2_Sample
CODEX_14280,25839.15084,5419.639241,3865.293249,948,36.3842335,33.54176427,0.387484194,0.93768546,0.774509804,-1.31441798,D0_batch_2_Sample
CODEX_14281,45633.61066,6576.352459,3862.92623,488,30.20324931,21.22905147,0.711315264,0.902033272,0.67032967,0.788737968,D0_batch_2_Sample
CODEX_14282,17094.52049,635.3196721,3866.827869,244,18.26864401,17.28118453,0.324318769,0.920754717,0.75308642,0.943329564,D0_batch_2_Sample
CODEX_14283,28703.07877,1446.828767,3865.513699,292,20.35374284,18.55885506,0.410600506,0.924050633,0.811111111,-0.427988976,D0_batch_2_Sample
CODEX_14284,26705.22557,2697.649425,3865.454023,696,35.69170646,25.44519891,0.701249146,0.928,0.69047619,1.016387437,D0_batch_2_Sample
CODEX_14285,20311.83644,4248.042553,3868.223404,752,34.15839221,28.18544431,0.564928786,0.950695322,0.789915966,-0.213942968,D0_batch_2_Sample
CODEX_14286,27886.33704,37.27037037,3868.425926,540,30.22855462,23.20854048,0.64072701,0.929432014,0.703125,1.308845299,D0_batch_2_Sample
CODEX_14287,12860.70817,101.4201521,3868.963878,1052,42.55148301,31.94102996,0.660706494,0.944344704,0.773529412,0.058920939,D0_batch_2_Sample
CODEX_14288,32552.87162,1616.211712,3866.95045,444,25.5475558,22.40914019,0.480209224,0.958963283,0.840909091,-0.534245696,D0_batch_2_Sample
CODEX_14289,10899.659,3019.98659,3867.373563,1044,39.59085354,33.91378391,0.515970195,0.950819672,0.808049536,0.43766062,D0_batch_2_Sample
CODEX_14290,9733.471939,4444.418367,3869.306122,784,41.18678583,24.47326366,0.804315971,0.95377129,0.816666667,1.375039435,D0_batch_2_Sample
CODEX_14291,14595.97368,4559.236842,3868.921053,76,10.44736898,9.633411642,0.386976136,0.915662651,0.76,0.109334473,D0_batch_2_Sample
CODEX_14292,19857.5914,5540.048387,3869.403226,372,22.68984663,21.03235363,0.375184852,0.966233766,0.845454545,-1.431141574,D0_batch_2_Sample
CODEX_14293,27221.61364,6250.704545,3867.477273,352,22.84215315,19.77404609,0.500593923,0.926315789,0.8,1.31119975,D0_batch_2_Sample
CODEX_14294,34724.19712,6510.942308,3870.057692,416,25.54104656,21.11894814,0.562403294,0.9004329,0.666666667,0.394990504,D0_batch_2_Sample
CODEX_14295,17104.58553,268.8947368,3869.631579,304,20.60445857,18.94179155,0.393544719,0.921212121,0.76,-0.096483504,D0_batch_2_Sample
CODEX_14296,22635.96963,447.7616822,3870.808411,856,36.95559729,29.60113268,0.598675235,0.955357143,0.792592593,1.316723247,D0_batch_2_Sample
CODEX_14297,11341.17308,3555.384615,3871.75,416,23.7729707,22.69060633,0.298304365,0.914285714,0.722222222,1.518696579,D0_batch_2_Sample
CODEX_14298,22226.89837,3733.784553,3868.109756,492,26.56121861,23.80487209,0.44359642,0.947976879,0.727810651,0.959312454,D0_batch_2_Sample
CODEX_14299,18372.20426,3782.295745,3870.142553,940,37.08834893,32.53420466,0.480110127,0.944723618,0.767973856,0.296904598,D0_batch_2_Sample
CODEX_14300,25473.20988,4107.04321,3869.104938,648,29.95899253,27.97231187,0.358091062,0.929698709,0.72,-0.975051313,D0_batch_2_Sample
CODEX_14301,42735.81977,5097.135659,3871.089147,516,26.57319807,24.95860387,0.343261845,0.945054945,0.763313609,-0.972054847,D0_batch_2_Sample
CODEX_14302,29295.47266,5179.40625,3870.953125,512,32.06165804,20.78759973,0.761331163,0.915921288,0.60952381,-1.005267288,D0_batch_2_Sample
CODEX_14303,19420.40464,5591.561856,3869.953608,776,31.71366227,31.34581859,0.151865963,0.942891859,0.7578125,0.769707262,D0_batch_2_Sample
CODEX_14304,16297.63056,347.3,3872.477778,360,23.25748441,19.79779354,0.524770131,0.957446809,0.818181818,0.401832627,D0_batch_2_Sample
CODEX_14305,33708.02344,916.75,3873.03125,256,18.90627349,17.3792174,0.393720529,0.944649446,0.790123457,-1.077014062,D0_batch_2_Sample
CODEX_14306,20676.02679,1948.321429,3872.1,1120,53.78884959,27.06454241,0.864191706,0.912052117,0.622222222,1.145160178,D0_batch_2_Sample
CODEX_14307,27936.46471,2285.158824,3873.304706,1700,53.26650133,41.47243026,0.62754076,0.940265487,0.722789116,-0.187133161,D0_batch_2_Sample
CODEX_14308,13504.34804,3411.539216,3873.911765,408,30.46813734,17.38870217,0.821146408,0.902654867,0.755555556,1.530065107,D0_batch_2_Sample
CODEX_14309,15285.4557,3577.563291,3873.613924,316,21.70262058,18.65653454,0.510892984,0.943283582,0.79,0.953896973,D0_batch_2_Sample
CODEX_14310,43252.05263,6564.149123,3872.815789,228,19.84247897,14.84570086,0.663498369,0.930612245,0.703703704,0.683201132,D0_batch_2_Sample
CODEX_14311,29749.67448,1749.604167,3875.625,384,26.3497807,18.79535703,0.70085658,0.91646778,0.727272727,-0.571872926,D0_batch_2_Sample
CODEX_14312,34986.17883,2342.587591,3875.916058,548,28.08431675,24.97120753,0.457613283,0.946459413,0.810650888,0.861228401,D0_batch_2_Sample
CODEX_14313,13542.75189,3481.396725,3871.210327,1588,47.29088412,44.82514164,0.318686761,0.934117647,0.719202899,-0.355956163,D0_batch_2_Sample
CODEX_14314,5981.068966,5730.775862,3875.5,232,17.78093677,16.7455604,0.336256545,0.943089431,0.805555556,1.570796327,D0_batch_2_Sample
CODEX_14315,26963.2508,6659.455128,3874.134615,1248,43.04496969,37.33889451,0.497543181,0.96073903,0.78,0.903038075,D0_batch_2_Sample
CODEX_14316,41893.47788,1702.393805,3875.278761,452,27.44563938,21.34843311,0.628457082,0.924335378,0.733766234,-1.378243736,D0_batch_2_Sample
CODEX_14317,31793.84266,1816.472028,3876.458042,572,30.16771337,24.75547249,0.571510253,0.9152,0.6875,-0.13259967,D0_batch_2_Sample
CODEX_14318,23818.28616,3284.235849,3876.487421,636,30.7584944,26.40880554,0.512669952,0.960725076,0.815384615,1.269893848,D0_batch_2_Sample
CODEX_14319,24001.79762,3640.671429,3876.880952,420,24.23226189,22.30407924,0.390909521,0.941704036,0.795454545,1.507551604,D0_batch_2_Sample
CODEX_14320,24257.625,3838.441176,3876.617647,272,18.91777875,18.40603181,0.231020477,0.961130742,0.839506173,1.107148718,D0_batch_2_Sample
CODEX_14321,12080.33936,3998.451807,3878.018072,996,40.76258501,31.46502807,0.635732388,0.933458294,0.728070175,-0.828762539,D0_batch_2_Sample
CODEX_14322,4589.363636,4286.560606,3876.166667,264,19.19636674,17.70711,0.386188548,0.904109589,0.733333333,-0.292889122,D0_batch_2_Sample
CODEX_14323,23898.51299,6594.62987,3876.136364,308,21.35171001,18.756248,0.477848197,0.908554572,0.7,1.193350727,D0_batch_2_Sample
CODEX_14324,28029.41591,707.0272727,3876.172727,440,24.44954309,23.29540816,0.303613636,0.938166311,0.833333333,-0.893405206,D0_batch_2_Sample
CODEX_14325,21433.30115,1385.324207,3881.404899,1388,56.34744817,31.7476132,0.826166584,0.935940661,0.755991285,0.17960999,D0_batch_2_Sample
